factory_id,machine_id,hours_operational,factory_date
1,1,22,2019-10-31
1,2,20,2019-10-31
1,3,21,2019-10-31
1,4,23,2019-10-31
1,5,22,2019-10-31
1,6,24,2019-10-31
1,7,20,2019-10-31
1,8,23,2019-10-31
1,9,22,2019-10-31
1,10,24,2019-10-31
2,1,19,2019-10-31
2,2,20,2019-10-31
2,3,19,2019-10-31
2,4,18,2019-10-31
2,5,21,2019-10-31
2,6,22,2019-10-31
2,7,19,2019-10-31
2,8,19,2019-10-31
2,9,20,2019-10-31
2,10,22,2019-10-31
3,1,23,2019-10-31
3,2,21,2019-10-31
3,3,24,2019-10-31
3,4,23,2019-10-31
3,5,22,2019-10-31
3,6,21,2019-10-31
3,7,23,2019-10-31
3,8,24,2019-10-31
3,9,24,2019-10-31
3,10,20,2019-10-31
4,1,24,2019-10-31
4,2,23,2019-10-31
4,3,24,2019-10-31
4,4,22,2019-10-31
4,5,22,2019-10-31
4,6,24,2019-10-31
4,7,22,2019-10-31
4,8,23,2019-10-31
4,9,24,2019-10-31
4,10,22,2019-10-31
5,1,24,2019-10-31
5,2,21,2019-10-31
5,3,22,2019-10-31
5,4,22,2019-10-31
5,5,20,2019-10-31
5,6,22,2019-10-31
5,7,23,2019-10-31
5,8,22,2019-10-31
5,9,24,2019-10-31
5,10,24,2019-10-31
1,1,23,2019-11-01
1,2,20,2019-11-01
1,3,22,2019-11-01
1,4,21,2019-11-01
1,5,23,2019-11-01
1,6,24,2019-11-01
1,7,22,2019-11-01
1,8,23,2019-11-01
1,9,24,2019-11-01
1,10,24,2019-11-01
2,1,18,2019-11-01
2,2,24,2019-11-01
2,3,22,2019-11-01
2,4,17,2019-11-01
2,5,22,2019-11-01
2,6,20,2019-11-01
2,7,24,2019-11-01
2,8,18,2019-11-01
2,9,24,2019-11-01
2,10,23,2019-11-01
3,1,21,2019-11-01
3,2,24,2019-11-01
3,3,20,2019-11-01
3,4,24,2019-11-01
3,5,22,2019-11-01
3,6,21,2019-11-01
3,7,24,2019-11-01
3,8,24,2019-11-01
3,9,24,2019-11-01
3,10,22,2019-11-01
4,1,22,2019-11-01
4,2,24,2019-11-01
4,3,22,2019-11-01
4,4,24,2019-11-01
4,5,23,2019-11-01
4,6,22,2019-11-01
4,7,24,2019-11-01
4,8,23,2019-11-01
4,9,24,2019-11-01
4,10,24,2019-11-01
5,1,20,2019-11-01
5,2,24,2019-11-01
5,3,23,2019-11-01
5,4,21,2019-11-01
5,5,22,2019-11-01
5,6,23,2019-11-01
5,7,20,2019-11-01
5,8,20,2019-11-01
5,9,23,2019-11-01
5,10,24,2019-11-01
1,1,22,2019-11-02
